ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0042254,ribosome biogenesis,167/2237,310/18903,1.24120715459835e-73,7.36656446254119e-70,5.94080940206178e-70,GTPBP10/PES1/MPHOSPH10/NOP56/WDR46/NVL/RRP8/RRP9/URB1/NPM3/SURF6/UTP20/RPP40/RSL1D1/NPM1/RPS17/RPSA/ERCC2/RPL7/FBL/RPL10/RPS19/NOP2/RPL5/RPL14/SNU13/RRP1/GEMIN4/RPS7/RPS14/RPL7A/RPS15/RPS28/RPL10A/RPL38/NOP14/RPL6/RNASEL/TBL3/DDX10/PWP1/CUL4B/GNL2/BYSL/BOP1/URB2/RRP1B/PDCD11/BMS1/NOLC1/RRS1/WDR43/PWP2/ZNHIT3/TSR1/NOM1/RRP12/NOL9/GPATCH4/UTP25/RPL7L1/MRM1/RPUSD3/SHQ1/WDR74/NOL8/MTERF4/NOP9/RIOX2/WDR75/DHX37/FTSJ3/RPUSD2/RBIS/DDX51/SRFBP1/NGDN/WDR36/DDX54/BRIX1/UTP15/TFB1M/DDX17/EMG1/ZNF622/UTP4/PINX1/NSUN4/RPUSD4/NMD3/MTERF3/IMP4/LTV1/DDX27/NSUN5/EBNA1BP2/GRWD1/MYBBP1A/RIOK1/UTP23/NOL10/RPP25/WDR18/NOC4L/UTP14A/RIOK2/MAK16/EIF2A/MRPL1/NIFK/GTPBP4/WDR12/REXO4/NAT10/DDX47/MTG2/ESF1/HEATR1/TFB2M/NOL6/RPF2/METTL17/NOL11/DDX31/RPF1/MRM3/PPAN/UTP3/DDX21/METTL5/SLX9/MDN1/DCAF13/IMP3/GNL3L/DDX18/NLE1/ZNHIT6/PAK1IP1/LYAR/AATF/DDX56/UTP6/RRN3/USP36/MRTO4/ABT1/NOB1/DIMT1/WDR3/PA2G4/NIP7/PIN4/DIS3/RCL1/DDX52/MRPS7/NOP58/FCF1/UTP11/RRP7A/SBDS/NOP16/NOC2L/LAS1L/UTP18/DDX49,167
BP,GO:0022613,ribonucleoprotein complex biogenesis,214/2237,489/18903,9.90802540328499e-73,2.94020653842482e-69,2.37114692151247e-69,GTPBP10/PES1/MPHOSPH10/NOP56/PRMT5/WDR46/EIF3D/NVL/RRP8/PRPF3/RRP9/URB1/PSIP1/NPM3/SURF6/UTP20/RPP40/EIF3G/EIF3J/RSL1D1/PRPF6/CELF2/NPM1/HSP90AB1/RPS17/RPSA/SNRPA1/GCFC2/ERCC2/RPL7/EIF2S2/FBL/EIF4B/RPL10/RPS19/EIF2S3/NOP2/RPL5/RPL14/CLNS1A/EIF5/SNU13/EIF3B/RRP1/GEMIN4/EIF3E/RPS7/RPS14/SNRPD2/RPL7A/RPS15/RPS28/RPL10A/RPL38/NOP14/RPL6/RNASEL/TBL3/SFSWAP/DDX10/ATM/EIF3I/ATR/PWP1/CUL4B/GNL2/BYSL/BOP1/URB2/EIF3A/RRP1B/PDCD11/BMS1/NOLC1/RRS1/EIF4H/WDR43/PWP2/SF3A1/ZNHIT3/TSR1/USP39/NOM1/RRP12/NOL9/GPATCH4/UTP25/RPL7L1/MRM1/RPUSD3/SHQ1/WDR74/NOL8/EIF3M/MTERF4/NOP9/RIOX2/WDR75/DHX37/FTSJ3/RPUSD2/RBIS/NOPCHAP1/DDX51/SRFBP1/NGDN/WDR36/DDX54/BRIX1/UTP15/GEMIN5/TFB1M/GEMIN6/DDX17/EMG1/CLP1/ZNF622/UTP4/PINX1/NSUN4/RPUSD4/NMD3/MTERF3/IMP4/LTV1/DDX27/NSUN5/TGS1/SRPK1/EIF3C/EBNA1BP2/GRWD1/WDR77/MYBBP1A/RIOK1/UTP23/NOL10/RPP25/WDR18/NOC4L/UTP14A/RIOK2/MAK16/EIF2A/MRPL1/NIFK/GTPBP4/WDR12/REXO4/NAT10/DDX47/MTG2/ESF1/HEATR1/TFB2M/NOL6/RPF2/METTL17/NOL11/DDX31/RPF1/MRM3/XAB2/LUC7L/PPAN/UTP3/DDX21/METTL5/SLX9/MDN1/DCAF13/IMP3/PRMT7/GNL3L/DDX18/NLE1/ZNHIT6/PAK1IP1/LYAR/AATF/DDX56/UTP6/RRN3/USP36/EIF3K/DDX20/NUFIP1/PUF60/MRTO4/ABT1/NOB1/DIMT1/WDR3/PA2G4/NIP7/RUVBL2/PIN4/EIF3L/RUVBL1/DIS3/RCL1/DDX52/MRPS7/NOP58/FCF1/UTP11/RRP7A/SBDS/NOP16/STRAP/NOC2L/LAS1L/UTP18/DDX49,214
BP,GO:0034470,ncRNA processing,192/2237,439/18903,4.04444554601021e-65,8.00126143852354e-62,6.45266452551173e-62,PES1/MPHOSPH10/NOP56/PRORP/WDR46/NVL/RNF113A/RRP8/RRP9/URB1/PTCD1/NPM3/UTP20/NUP155/RPP40/RSL1D1/ELP1/TGFB1/SSB/RPS17/DDX5/ERCC2/RPL7/FBL/MAP2K2/RPS19/STAT3/NOP2/RPL5/AARS1/SARS1/RPL14/SNU13/RRP1/WDR4/GEMIN4/RPS7/RPS14/RPL7A/RPS15/RPS28/RPL10A/NOP14/MAP2K1/RNASEL/PPP3CA/NSUN2/TBL3/GRSF1/DDX10/TARBP1/RIPK1/PWP1/BYSL/BOP1/RRP1B/PDCD11/BMS1/NOLC1/KARS1/RRS1/WDR43/PWP2/ZNHIT3/TSR1/CTU2/TRMT5/LARP7/RRP12/NOL9/SPOUT1/INTS11/TUT7/UTP25/RPL7L1/ELP2/MRM1/RPUSD3/SHQ1/WDR74/THADA/NOL8/TRMT10C/TRMT1L/MTERF4/ADAT2/CTU1/NOP9/YRDC/WDR75/DHX37/FTSJ3/TRMT44/TRMT2A/RPUSD2/DTWD1/DDX51/FAM98A/SRFBP1/NGDN/WDR36/TRMT10A/DDX54/BRIX1/ELP5/NSUN6/UTP15/TFB1M/DDX17/EMG1/CLP1/UTP4/GTPBP3/NSUN4/RPUSD4/IMP4/DUS3L/DDX27/NSUN5/PUS7/CDK5RAP1/POP1/EBNA1BP2/ELAC2/RIOK1/UTP23/NOL10/RPP25/WDR18/NOC4L/UTP14A/RIOK2/QTRT1/MAK16/MRPL1/NIFK/GTPBP4/WDR12/REXO4/NAT10/DDX47/ESF1/HEATR1/TFB2M/NOL6/RPF2/NOL11/QTRT2/ELP3/RPF1/MRM3/PPAN/UTP3/DDX21/METTL5/SLX9/MDN1/DCAF13/IMP3/INTS9/DDX18/ZNHIT6/LYAR/DUS2/TRMT1/DDX56/UTP6/USP36/FTSJ1/TRMT6/MRTO4/ABT1/NOB1/DIMT1/WDR3/PA2G4/PIN4/DIS3/RCL1/DDX52/NOP58/POLR3K/MTO1/FCF1/UTP11/RRP7A/SBDS/RTCB/LAS1L/UTP18/PUS1/DDX49,192
BP,GO:0006364,rRNA processing,133/2237,229/18903,4.17626692196519e-64,6.19653604546584e-61,4.99723307741466e-61,PES1/MPHOSPH10/NOP56/WDR46/NVL/RRP8/RRP9/URB1/NPM3/UTP20/RPP40/RSL1D1/RPS17/ERCC2/RPL7/FBL/RPS19/NOP2/RPL5/RPL14/SNU13/RRP1/GEMIN4/RPS7/RPS14/RPL7A/RPS15/RPS28/RPL10A/NOP14/RNASEL/TBL3/DDX10/PWP1/BYSL/BOP1/RRP1B/PDCD11/BMS1/NOLC1/RRS1/WDR43/PWP2/ZNHIT3/TSR1/RRP12/NOL9/UTP25/RPL7L1/MRM1/RPUSD3/SHQ1/WDR74/NOL8/MTERF4/NOP9/WDR75/DHX37/FTSJ3/RPUSD2/DDX51/SRFBP1/NGDN/WDR36/DDX54/BRIX1/UTP15/TFB1M/DDX17/EMG1/UTP4/NSUN4/RPUSD4/IMP4/DDX27/NSUN5/EBNA1BP2/RIOK1/UTP23/NOL10/RPP25/WDR18/NOC4L/UTP14A/RIOK2/MAK16/MRPL1/NIFK/GTPBP4/WDR12/REXO4/NAT10/DDX47/ESF1/HEATR1/TFB2M/NOL6/RPF2/NOL11/RPF1/MRM3/PPAN/UTP3/DDX21/METTL5/SLX9/MDN1/DCAF13/IMP3/DDX18/ZNHIT6/LYAR/DDX56/UTP6/USP36/MRTO4/ABT1/NOB1/DIMT1/WDR3/PA2G4/PIN4/DIS3/RCL1/DDX52/NOP58/FCF1/UTP11/RRP7A/SBDS/LAS1L/UTP18/DDX49,133
BP,GO:0016072,rRNA metabolic process,141/2237,268/18903,1.91370580871838e-60,2.27156879494872e-57,1.83192006573526e-57,PES1/MPHOSPH10/NOP56/WDR46/NVL/POLR1G/RRP8/RRP9/URB1/NPM3/UTP20/RPP40/RSL1D1/RPS17/ERCC2/RPL7/NCL/FBL/RPS19/NOP2/RPL5/RPL14/SNU13/RRP1/MARS1/GEMIN4/RPS7/RPS14/RPL7A/RPS15/RPS28/RPL10A/NOP14/RNASEL/TBL3/DDX10/TCOF1/PWP1/BYSL/BOP1/RRP1B/PDCD11/BMS1/NOLC1/RRS1/WDR43/PWP2/ZNHIT3/TSR1/RRP12/NOL9/UTP25/RPL7L1/MRM1/RPUSD3/SHQ1/WDR74/NOL8/MTERF4/NOP9/WDR75/DHX37/FTSJ3/RPUSD2/XRN1/DDX51/SRFBP1/NGDN/WDR36/DDX54/BRIX1/UTP15/TFB1M/DDX17/EMG1/UTP4/NSUN4/RPUSD4/IMP4/DDX27/NSUN5/EBNA1BP2/TRIR/RIOK1/UTP23/NOL10/RPP25/WDR18/NOC4L/UTP14A/RIOK2/MAK16/MRPL1/NIFK/GTPBP4/WDR12/REXO4/POLR1E/NAT10/DDX47/ESF1/HEATR1/TFB2M/NOL6/RPF2/NOL11/RPF1/POLR1B/MRM3/PPAN/UTP3/DDX21/METTL5/SLX9/MDN1/DCAF13/IMP3/DDX18/ZNHIT6/LYAR/DDX56/UTP6/USP36/MRTO4/ABT1/NOB1/DIMT1/WDR3/PA2G4/PIN4/DIS3/RCL1/DDX52/NOP58/FCF1/UTP11/RRP7A/SBDS/LAS1L/UTP18/DDX49,141
BP,GO:0042274,ribosomal small subunit biogenesis,55/2237,78/18903,1.25303603482555e-33,1.23946147778161e-30,9.99571026377503e-31,MPHOSPH10/WDR46/SURF6/UTP20/RPP40/NPM1/RPS17/RPSA/ERCC2/RPS19/SNU13/RPS7/RPS14/RPS15/RPS28/RPL38/NOP14/TBL3/BYSL/BMS1/RRS1/WDR43/PWP2/TSR1/NOM1/UTP25/NOP9/DHX37/SRFBP1/NGDN/EMG1/UTP4/IMP4/LTV1/RIOK1/UTP23/NOL10/RIOK2/NAT10/HEATR1/METTL17/NOL11/UTP3/SLX9/DCAF13/IMP3/UTP6/ABT1/NOB1/WDR3/RCL1/DDX52/MRPS7/FCF1/RRP7A,55
BP,GO:0030490,maturation of SSU-rRNA,42/2237,55/18903,2.53405391558403e-28,2.14851571271303e-25,1.73268318107678e-25,MPHOSPH10/WDR46/UTP20/RPP40/ERCC2/RPS19/SNU13/RPS14/RPS28/NOP14/TBL3/BYSL/BMS1/RRS1/WDR43/PWP2/TSR1/UTP25/NOP9/DHX37/SRFBP1/NGDN/UTP4/IMP4/RIOK1/UTP23/NOL10/RIOK2/NAT10/HEATR1/NOL11/UTP3/SLX9/DCAF13/IMP3/UTP6/ABT1/NOB1/WDR3/RCL1/DDX52/FCF1,42
BP,GO:0002181,cytoplasmic translation,71/2237,161/18903,6.76072775174089e-25,5.01561490082277e-22,4.04487224831129e-22,EIF3D/SYNCRIP/SH3BGRL/CSDE1/EIF3G/EIF3J/RPS17/RPSA/PABPC1/PKM/NCK1/YBX3/RPL7/RPL17/EIF2S2/RPS3/EIF4B/RPL13/RPL10/RPL4/RPS19/EIF2S3/RPL5/RPL21/RPL28/RPL29/AARS1/RPL14/EIF5/EIF3B/EIF3E/EIF4A1/RPS3A/RPL15/RPL37A/RPS7/RPS15A/RPS14/RPS18/RPS29/RPS11/RPL7A/ETF1/RPS15/RPS28/RPL10A/RPL32/RPL38/YBX1/RPL18A/RPL6/EIF4G1/FMR1/RPL18/EIF3I/EIF3A/SLBP/EIF4H/RPL22L1/EIF3M/EIF3C/DPH2/DPH1/PAIP1/DPH5/DHX36/EIF2B3/EIF3K/FTSJ1/EIF3L/RPL36,71
BP,GO:0042273,ribosomal large subunit biogenesis,44/2237,76/18903,6.43438484048911e-22,4.2431193364781e-19,3.42188863973146e-19,PES1/NVL/URB1/SURF6/RSL1D1/NPM1/RPL7/RPL10/NOP2/RPL5/RPL14/SNU13/RPL7A/RPL10A/RPL38/RPL6/BOP1/RRS1/ZNHIT3/NOL9/RPL7L1/WDR74/FTSJ3/BRIX1/ZNF622/EBNA1BP2/MAK16/MRPL1/NIFK/GTPBP4/WDR12/RPF2/RPF1/PPAN/MDN1/DDX18/NLE1/ZNHIT6/PAK1IP1/MRTO4/NIP7/NOP16/NOC2L/LAS1L,44
BP,GO:0000462,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),29/2237,39/18903,2.15488815341987e-19,1.27892611905469e-16,1.03139751932633e-16,WDR46/UTP20/RPP40/ERCC2/RPS19/RPS14/NOP14/TBL3/BYSL/BMS1/RRS1/WDR43/PWP2/TSR1/UTP25/NOP9/DHX37/NGDN/UTP4/UTP23/NOL10/HEATR1/UTP3/SLX9/DCAF13/UTP6/ABT1/RCL1/FCF1,29
