ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0022613,ribonucleoprotein complex biogenesis,207/1130,489/18903,3.41731077092165e-125,1.64953590912388e-121,1.48850862842882e-121,GTPBP10/PES1/MPHOSPH10/NOP56/PRMT5/WDR46/EIF3D/NVL/RRP8/PRPF3/RRP9/URB1/NPM3/SURF6/UTP20/RPP40/EIF3G/EIF3J/RSL1D1/PRPF6/NPM1/HSP90AB1/RPS17/RPSA/SNRPA1/GCFC2/ERCC2/RPL7/EIF2S2/FBL/EIF4B/RPL10/RPS19/EIF2S3/NOP2/RPL5/RPL14/CLNS1A/EIF5/SNU13/EIF3B/RRP1/GEMIN4/EIF3E/RPS7/RPS14/SNRPD2/RPL7A/RPS15/RPS28/RPL10A/RPL38/NOP14/RPL6/TBL3/SFSWAP/DDX10/EIF3I/ATR/PWP1/GNL2/BYSL/BOP1/URB2/EIF3A/RRP1B/PDCD11/BMS1/NOLC1/RRS1/EIF4H/WDR43/PWP2/SF3A1/ZNHIT3/TSR1/USP39/NOM1/RRP12/NOL9/GPATCH4/UTP25/RPL7L1/MRM1/RPUSD3/SHQ1/WDR74/NOL8/EIF3M/MTERF4/NOP9/RIOX2/WDR75/DHX37/FTSJ3/RPUSD2/RBIS/NOPCHAP1/DDX51/SRFBP1/NGDN/WDR36/DDX54/BRIX1/UTP15/GEMIN5/TFB1M/GEMIN6/EMG1/CLP1/ZNF622/UTP4/PINX1/NSUN4/RPUSD4/NMD3/MTERF3/IMP4/LTV1/DDX27/NSUN5/TGS1/SRPK1/EIF3C/EBNA1BP2/GRWD1/WDR77/MYBBP1A/RIOK1/UTP23/NOL10/RPP25/WDR18/NOC4L/UTP14A/RIOK2/MAK16/EIF2A/MRPL1/NIFK/GTPBP4/WDR12/REXO4/NAT10/DDX47/MTG2/ESF1/HEATR1/TFB2M/NOL6/RPF2/METTL17/NOL11/DDX31/RPF1/MRM3/XAB2/LUC7L/PPAN/UTP3/DDX21/METTL5/SLX9/MDN1/DCAF13/IMP3/PRMT7/GNL3L/DDX18/NLE1/ZNHIT6/PAK1IP1/LYAR/AATF/DDX56/UTP6/RRN3/USP36/EIF3K/DDX20/NUFIP1/PUF60/MRTO4/ABT1/NOB1/DIMT1/WDR3/PA2G4/NIP7/RUVBL2/EIF3L/RUVBL1/DIS3/RCL1/DDX52/MRPS7/NOP58/FCF1/UTP11/RRP7A/SBDS/NOP16/STRAP/NOC2L/LAS1L/UTP18/DDX49,207
BP,GO:0042254,ribosome biogenesis,163/1130,310/18903,9.27094741975007e-117,2.23754315975668e-113,2.01911475910136e-113,GTPBP10/PES1/MPHOSPH10/NOP56/WDR46/NVL/RRP8/RRP9/URB1/NPM3/SURF6/UTP20/RPP40/RSL1D1/NPM1/RPS17/RPSA/ERCC2/RPL7/FBL/RPL10/RPS19/NOP2/RPL5/RPL14/SNU13/RRP1/GEMIN4/RPS7/RPS14/RPL7A/RPS15/RPS28/RPL10A/RPL38/NOP14/RPL6/TBL3/DDX10/PWP1/GNL2/BYSL/BOP1/URB2/RRP1B/PDCD11/BMS1/NOLC1/RRS1/WDR43/PWP2/ZNHIT3/TSR1/NOM1/RRP12/NOL9/GPATCH4/UTP25/RPL7L1/MRM1/RPUSD3/SHQ1/WDR74/NOL8/MTERF4/NOP9/RIOX2/WDR75/DHX37/FTSJ3/RPUSD2/RBIS/DDX51/SRFBP1/NGDN/WDR36/DDX54/BRIX1/UTP15/TFB1M/EMG1/ZNF622/UTP4/PINX1/NSUN4/RPUSD4/NMD3/MTERF3/IMP4/LTV1/DDX27/NSUN5/EBNA1BP2/GRWD1/MYBBP1A/RIOK1/UTP23/NOL10/RPP25/WDR18/NOC4L/UTP14A/RIOK2/MAK16/EIF2A/MRPL1/NIFK/GTPBP4/WDR12/REXO4/NAT10/DDX47/MTG2/ESF1/HEATR1/TFB2M/NOL6/RPF2/METTL17/NOL11/DDX31/RPF1/MRM3/PPAN/UTP3/DDX21/METTL5/SLX9/MDN1/DCAF13/IMP3/GNL3L/DDX18/NLE1/ZNHIT6/PAK1IP1/LYAR/AATF/DDX56/UTP6/RRN3/USP36/MRTO4/ABT1/NOB1/DIMT1/WDR3/PA2G4/NIP7/DIS3/RCL1/DDX52/MRPS7/NOP58/FCF1/UTP11/RRP7A/SBDS/NOP16/NOC2L/LAS1L/UTP18/DDX49,163
BP,GO:0034470,ncRNA processing,178/1130,439/18903,3.80826461936864e-103,6.12749777256414e-100,5.52933298068331e-100,PES1/MPHOSPH10/NOP56/PRORP/WDR46/NVL/RNF113A/RRP8/RRP9/URB1/PTCD1/NPM3/UTP20/NUP155/RPP40/RSL1D1/ELP1/SSB/RPS17/DDX5/ERCC2/RPL7/FBL/RPS19/NOP2/RPL5/AARS1/SARS1/RPL14/SNU13/RRP1/WDR4/GEMIN4/RPS7/RPS14/RPL7A/RPS15/RPS28/RPL10A/NOP14/NSUN2/TBL3/DDX10/TARBP1/PWP1/BYSL/BOP1/RRP1B/PDCD11/BMS1/NOLC1/KARS1/RRS1/WDR43/PWP2/ZNHIT3/TSR1/CTU2/TRMT5/RRP12/NOL9/SPOUT1/INTS11/UTP25/RPL7L1/ELP2/MRM1/RPUSD3/SHQ1/WDR74/THADA/NOL8/TRMT10C/MTERF4/ADAT2/CTU1/NOP9/YRDC/WDR75/DHX37/FTSJ3/TRMT44/TRMT2A/RPUSD2/DTWD1/DDX51/FAM98A/SRFBP1/NGDN/WDR36/DDX54/BRIX1/ELP5/NSUN6/UTP15/TFB1M/EMG1/CLP1/UTP4/GTPBP3/NSUN4/RPUSD4/IMP4/DUS3L/DDX27/NSUN5/PUS7/CDK5RAP1/POP1/EBNA1BP2/ELAC2/RIOK1/UTP23/NOL10/RPP25/WDR18/NOC4L/UTP14A/RIOK2/QTRT1/MAK16/MRPL1/NIFK/GTPBP4/WDR12/REXO4/NAT10/DDX47/ESF1/HEATR1/TFB2M/NOL6/RPF2/NOL11/QTRT2/ELP3/RPF1/MRM3/PPAN/UTP3/DDX21/METTL5/SLX9/MDN1/DCAF13/IMP3/INTS9/DDX18/ZNHIT6/LYAR/DUS2/TRMT1/DDX56/UTP6/USP36/FTSJ1/TRMT6/MRTO4/ABT1/NOB1/DIMT1/WDR3/PA2G4/DIS3/RCL1/DDX52/NOP58/POLR3K/MTO1/FCF1/UTP11/RRP7A/SBDS/RTCB/LAS1L/UTP18/PUS1/DDX49,178
BP,GO:0006364,rRNA processing,130/1130,229/18903,1.57559855825938e-98,1.90135356017951e-95,1.71574390370456e-95,PES1/MPHOSPH10/NOP56/WDR46/NVL/RRP8/RRP9/URB1/NPM3/UTP20/RPP40/RSL1D1/RPS17/ERCC2/RPL7/FBL/RPS19/NOP2/RPL5/RPL14/SNU13/RRP1/GEMIN4/RPS7/RPS14/RPL7A/RPS15/RPS28/RPL10A/NOP14/TBL3/DDX10/PWP1/BYSL/BOP1/RRP1B/PDCD11/BMS1/NOLC1/RRS1/WDR43/PWP2/ZNHIT3/TSR1/RRP12/NOL9/UTP25/RPL7L1/MRM1/RPUSD3/SHQ1/WDR74/NOL8/MTERF4/NOP9/WDR75/DHX37/FTSJ3/RPUSD2/DDX51/SRFBP1/NGDN/WDR36/DDX54/BRIX1/UTP15/TFB1M/EMG1/UTP4/NSUN4/RPUSD4/IMP4/DDX27/NSUN5/EBNA1BP2/RIOK1/UTP23/NOL10/RPP25/WDR18/NOC4L/UTP14A/RIOK2/MAK16/MRPL1/NIFK/GTPBP4/WDR12/REXO4/NAT10/DDX47/ESF1/HEATR1/TFB2M/NOL6/RPF2/NOL11/RPF1/MRM3/PPAN/UTP3/DDX21/METTL5/SLX9/MDN1/DCAF13/IMP3/DDX18/ZNHIT6/LYAR/DDX56/UTP6/USP36/MRTO4/ABT1/NOB1/DIMT1/WDR3/PA2G4/DIS3/RCL1/DDX52/NOP58/FCF1/UTP11/RRP7A/SBDS/LAS1L/UTP18/DDX49,130
BP,GO:0016072,rRNA metabolic process,137/1130,268/18903,1.32361667940626e-95,1.27781954229881e-92,1.15307911987013e-92,PES1/MPHOSPH10/NOP56/WDR46/NVL/POLR1G/RRP8/RRP9/URB1/NPM3/UTP20/RPP40/RSL1D1/RPS17/ERCC2/RPL7/NCL/FBL/RPS19/NOP2/RPL5/RPL14/SNU13/RRP1/MARS1/GEMIN4/RPS7/RPS14/RPL7A/RPS15/RPS28/RPL10A/NOP14/TBL3/DDX10/TCOF1/PWP1/BYSL/BOP1/RRP1B/PDCD11/BMS1/NOLC1/RRS1/WDR43/PWP2/ZNHIT3/TSR1/RRP12/NOL9/UTP25/RPL7L1/MRM1/RPUSD3/SHQ1/WDR74/NOL8/MTERF4/NOP9/WDR75/DHX37/FTSJ3/RPUSD2/DDX51/SRFBP1/NGDN/WDR36/DDX54/BRIX1/UTP15/TFB1M/EMG1/UTP4/NSUN4/RPUSD4/IMP4/DDX27/NSUN5/EBNA1BP2/TRIR/RIOK1/UTP23/NOL10/RPP25/WDR18/NOC4L/UTP14A/RIOK2/MAK16/MRPL1/NIFK/GTPBP4/WDR12/REXO4/POLR1E/NAT10/DDX47/ESF1/HEATR1/TFB2M/NOL6/RPF2/NOL11/RPF1/POLR1B/MRM3/PPAN/UTP3/DDX21/METTL5/SLX9/MDN1/DCAF13/IMP3/DDX18/ZNHIT6/LYAR/DDX56/UTP6/USP36/MRTO4/ABT1/NOB1/DIMT1/WDR3/PA2G4/DIS3/RCL1/DDX52/NOP58/FCF1/UTP11/RRP7A/SBDS/LAS1L/UTP18/DDX49,137
BP,GO:0042274,ribosomal small subunit biogenesis,55/1130,78/18903,1.33640774031493e-49,1.07514002708336e-46,9.70185127968978e-47,MPHOSPH10/WDR46/SURF6/UTP20/RPP40/NPM1/RPS17/RPSA/ERCC2/RPS19/SNU13/RPS7/RPS14/RPS15/RPS28/RPL38/NOP14/TBL3/BYSL/BMS1/RRS1/WDR43/PWP2/TSR1/NOM1/UTP25/NOP9/DHX37/SRFBP1/NGDN/EMG1/UTP4/IMP4/LTV1/RIOK1/UTP23/NOL10/RIOK2/NAT10/HEATR1/METTL17/NOL11/UTP3/SLX9/DCAF13/IMP3/UTP6/ABT1/NOB1/WDR3/RCL1/DDX52/MRPS7/FCF1/RRP7A,55
BP,GO:0030490,maturation of SSU-rRNA,42/1130,55/18903,1.36152960367925e-40,9.3887191385139e-38,8.47219473687929e-38,MPHOSPH10/WDR46/UTP20/RPP40/ERCC2/RPS19/SNU13/RPS14/RPS28/NOP14/TBL3/BYSL/BMS1/RRS1/WDR43/PWP2/TSR1/UTP25/NOP9/DHX37/SRFBP1/NGDN/UTP4/IMP4/RIOK1/UTP23/NOL10/RIOK2/NAT10/HEATR1/NOL11/UTP3/SLX9/DCAF13/IMP3/UTP6/ABT1/NOB1/WDR3/RCL1/DDX52/FCF1,42
BP,GO:0002181,cytoplasmic translation,66/1130,161/18903,1.67729643430322e-38,1.0120387360477e-35,9.13243769098251e-36,EIF3D/SYNCRIP/CSDE1/EIF3G/EIF3J/RPS17/RPSA/PABPC1/YBX3/RPL7/RPL17/EIF2S2/RPS3/EIF4B/RPL13/RPL10/RPL4/RPS19/EIF2S3/RPL5/RPL21/RPL28/RPL29/AARS1/RPL14/EIF5/EIF3B/EIF3E/EIF4A1/RPS3A/RPL15/RPL37A/RPS7/RPS15A/RPS14/RPS18/RPS29/RPS11/RPL7A/ETF1/RPS15/RPS28/RPL10A/RPL32/RPL38/YBX1/RPL18A/RPL6/EIF4G1/RPL18/EIF3I/EIF3A/SLBP/EIF4H/RPL22L1/EIF3M/EIF3C/DPH2/DPH1/DPH5/DHX36/EIF2B3/EIF3K/FTSJ1/EIF3L/RPL36,66
BP,GO:0042273,ribosomal large subunit biogenesis,44/1130,76/18903,2.79574407682128e-34,1.49945073986848e-31,1.35307473565923e-31,PES1/NVL/URB1/SURF6/RSL1D1/NPM1/RPL7/RPL10/NOP2/RPL5/RPL14/SNU13/RPL7A/RPL10A/RPL38/RPL6/BOP1/RRS1/ZNHIT3/NOL9/RPL7L1/WDR74/FTSJ3/BRIX1/ZNF622/EBNA1BP2/MAK16/MRPL1/NIFK/GTPBP4/WDR12/RPF2/RPF1/PPAN/MDN1/DDX18/NLE1/ZNHIT6/PAK1IP1/MRTO4/NIP7/NOP16/NOC2L/LAS1L,44
BP,GO:0022618,ribonucleoprotein complex assembly,71/1130,234/18903,1.94200518701092e-31,9.3740590377017e-29,8.45896575142229e-29,PRMT5/EIF3D/PRPF3/EIF3G/EIF3J/PRPF6/HSP90AB1/RPSA/SNRPA1/GCFC2/EIF2S2/EIF4B/RPL10/RPS19/EIF2S3/NOP2/RPL5/CLNS1A/EIF5/SNU13/EIF3B/GEMIN4/EIF3E/RPS14/SNRPD2/RPS15/RPS28/RPL38/RPL6/SFSWAP/EIF3I/ATR/BOP1/EIF3A/RRS1/EIF4H/PWP2/SF3A1/ZNHIT3/USP39/SHQ1/EIF3M/NOPCHAP1/BRIX1/GEMIN5/GEMIN6/CLP1/TGS1/SRPK1/EIF3C/WDR77/RPF2/XAB2/LUC7L/PPAN/MDN1/PRMT7/NLE1/ZNHIT6/EIF3K/DDX20/NUFIP1/PUF60/MRTO4/ABT1/RUVBL2/EIF3L/RUVBL1/MRPS7/RRP7A/STRAP,71
