ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0007015,actin filament organization,83/1107,454/18903,8.14583505753295e-21,4.31729258049247e-17,3.38009282071525e-17,SHTN1/MYO1G/MYO1C/MYO1F/ARPC1B/ARPC2/INPPL1/ARPC5/SORBS3/GAS7/WDR1/ROCK2/GSN/TPM3/PFN1/ACTN1/HCLS1/NCK1/STMN1/ITGB5/RASA1/CFL1/CORO1A/CTNNA1/RDX/ADD1/CAPG/ID1/ARHGAP25/CAPZA2/CAPZB/PXN/CAPZA1/AIF1/CORO7/GMFB/ACTR3/ARF6/TPM4/RHOG/SPTBN1/PRKCD/CD47/WASHC5/TWF1/EPS8/ROCK1/IQGAP2/SPTAN1/DPYSL3/PTK2B/PLS1/PLEC/CCDC88A/RICTOR/MPRIP/CYFIP1/CLASP1/ARHGAP12/ABI1/ARHGAP18/RFLNB/MCU/PREX1/ARHGEF2/ELMO2/ARAP1/CORO1B/CYRIA/TRIOBP/DIAPH3/ABI2/TMOD3/ADD3/SWAP70/LIMA1/MYO6/WASHC3/SH3BP1/MYO5A/F11R/ARFGEF1/WASF2,83
BP,GO:0051656,establishment of organelle localization,73/1107,437/18903,3.22297146028237e-16,8.54087436974827e-13,6.68681762970163e-13,MYO1G/MYO1C/MYO1F/EXOC5/SDCBP/NDC80/HGS/PDPK1/CHMP2A/ACTN4/OPA1/EXOC3/VPS4B/SNAP29/LMNA/ITGB1/LYN/RAB6A/LMNB1/CBL/CFL1/KIF5B/MYH9/HTT/PAFAH1B1/SYK/TRAPPC10/DNM2/YWHAZ/DYNLT1/CENPC/LMNB2/DNM1/BTK/ATM/TCIRG1/PICALM/DCTN2/DCTN1/DYNC1H1/NUMA1/STXBP2/RAB11B/MAP1S/UNC13D/CLASP1/TRAPPC6B/RHOT1/EXOC6/PDCD6IP/GBF1/NECTIN2/EXOC4/RMDN1/CHAMP1/EXOC2/TRAPPC9/TSG101/NUF2/WDR11/CHMP4B/EML4/ARFGAP3/ACTR10/COPG2/HDAC6/SPAST/SUN2/MYO6/EXOC7/CHMP3/MYO5A/COPG1,73
BP,GO:1902903,regulation of supramolecular fiber organization,66/1107,384/18903,2.13544331610379e-15,3.77261652511669e-12,2.95365528143197e-12,ARPC1B/ARPC2/ARPC5/DAPK3/SORBS3/WDR1/ROCK2/EML2/APOE/GSN/RB1/GPX1/PFN1/HCLS1/NCK1/STMN1/RASA1/CLIP1/CORO1A/RDX/ADD1/CAPG/ID1/CAPZA2/CAPZB/PXN/MECP2/CAPZA1/GMFB/ARF6/SPTBN1/PRKCD/CD47/WASHC5/TWF1/EPS8/ROCK1/DYRK1A/SPTAN1/DCTN1/PTK2B/NUMA1/CCDC88A/MAP1S/RICTOR/CYFIP1/TAOK1/CLASP1/ARHGAP18/ARHGEF2/ARAP1/CORO1B/CYRIA/TRIOBP/ABI2/TMOD3/HDAC6/SPAST/ADD3/SWAP70/LIMA1/WASHC3/SH3BP1/F11R/ARFGEF1/WASF2,66
BP,GO:0008154,actin polymerization or depolymerization,44/1107,200/18903,1.49032473774434e-14,1.97468027751125e-11,1.54601582004952e-11,ARPC1B/ARPC2/ARPC5/GAS7/WDR1/GSN/PFN1/HCLS1/NCK1/RASA1/CFL1/CORO1A/RDX/ADD1/CAPG/CAPZA2/CAPZB/CAPZA1/AIF1/CORO7/ARF6/SPTBN1/PRKCD/WASHC5/TWF1/EPS8/SPTAN1/PTK2B/RICTOR/CYFIP1/ABI1/ARHGAP18/PREX1/CYRIA/TRIOBP/DIAPH3/ABI2/TMOD3/ADD3/SWAP70/LIMA1/WASHC3/SH3BP1/ARFGEF1,44
BP,GO:0016197,endosomal transport,48/1107,247/18903,1.41715455947544e-13,1.50218383304396e-10,1.17608911020046e-10,HGS/RAB29/VPS26C/CHMP2A/SPAG9/SNX3/TOM1/VPS4B/STAM2/RAB6A/TRAPPC10/RAB13/ARF6/CLTC/WASHC5/STX5/PICALM/SNX1/DCTN1/ACAP2/EEA1/RAB11B/RIC1/GRIPAP1/CCDC93/VPS53/VPS35L/ZFYVE16/VPS36/VPS52/MICALL1/GBF1/TBC1D5/USP7/REPS1/VPS39/AGAP2/TSG101/UBXN6/CHMP4B/VPS37B/RAB6B/ITSN2/EHD2/VTI1B/SNX12/WASHC3/CHMP3,48
BP,GO:0022411,cellular component disassembly,72/1107,483/18903,2.03590963807443e-13,1.71573124436735e-10,1.34327955616606e-10,DNASE2/DNM1L/ARID1A/ADAM10/APAF1/CHMP2A/PLIN3/TOM1/WDR1/VPS4B/FLOT1/UFL1/ATG7/SNAP29/CST3/TGFB1/GBA1/PRKCB/GSN/ITGAM/STMN1/CFL1/CTSS/KIF5B/RDX/ADD1/CAPG/HTT/PAFAH1B1/NSF/CAPZA2/CAPZB/LRBA/CAPZA1/STX17/ARF6/SPTBN1/KLC1/TWF1/ASPH/EPS8/STX5/SPTAN1/DCTN1/MAPRE2/TRIP4/MAP1S/ARID2/VPS13C/TAOK1/CLASP1/STING1/SMARCC2/GBF1/SMARCD2/ARHGEF2/SMARCD1/CDK5RAP3/TSG101/PYM1/TRIOBP/CHMP4B/TMOD3/HDAC6/SPAST/ADD3/SWAP70/LIMA1/UFC1/CHMP3/SH3BP1/WDR45,72
BP,GO:0016050,vesicle organization,59/1107,353/18903,2.36661556645175e-13,1.71573124436735e-10,1.34327955616606e-10,SDCBP/HGS/RAB29/STX7/CHMP2A/AP1G1/SNX3/USO1/TOM1/DNAJC13/VPS4B/STAM2/SEC24D/SNAP29/ANXA1/ANXA2/GNAI3/CORO1A/ATP6V1A/USP8/PAFAH1B1/PIP4K2A/TRAPPC10/RAB13/AGFG1/STX17/RAB5B/AP1S1/DNM1/AP1B1/WASHC5/STX5/PICALM/SCARB2/EEA1/SEC23A/ATP6V1F/SAMD9/ZFYVE16/TRAPPC6B/VPS36/PDCD6IP/GBF1/SEPTIN8/NECTIN2/NKD2/HPS3/AP2M1/VPS39/TRAPPC9/TSG101/AP1M1/VPS11/CHMP4B/VPS37B/ARFGAP3/VAPA/VTI1B/CHMP3,59
BP,GO:0110053,regulation of actin filament organization,51/1107,278/18903,2.58978301036581e-13,1.71573124436735e-10,1.34327955616606e-10,ARPC1B/ARPC2/ARPC5/SORBS3/WDR1/ROCK2/GSN/PFN1/HCLS1/NCK1/STMN1/RASA1/CORO1A/RDX/ADD1/CAPG/ID1/CAPZA2/CAPZB/PXN/CAPZA1/GMFB/ARF6/SPTBN1/PRKCD/CD47/WASHC5/TWF1/EPS8/ROCK1/SPTAN1/PTK2B/CCDC88A/RICTOR/CYFIP1/CLASP1/ARHGAP18/ARAP1/CORO1B/CYRIA/TRIOBP/ABI2/TMOD3/ADD3/SWAP70/LIMA1/WASHC3/SH3BP1/F11R/ARFGEF1/WASF2,51
BP,GO:0032956,regulation of actin cytoskeleton organization,60/1107,365/18903,3.11897818235552e-13,1.83673159627603e-10,1.43801309881233e-10,ARPC1B/ARPC2/ARPC5/DAPK3/SORBS3/WDR1/ROCK2/GSN/PFN1/HCLS1/NCK1/STMN1/RASA1/CORO1A/RDX/ADD1/CAPG/ID1/CRK/IQGAP1/CAPZA2/CAPZB/PXN/CAPZA1/GMFB/ARF6/RHOG/SPTBN1/PRKCD/CD47/WASHC5/TWF1/EPS8/ROCK1/IQGAP2/SPTAN1/PTK2B/CCDC88A/RICTOR/PEAK3/CYFIP1/TAOK1/CLASP1/IQGAP3/ARHGAP18/ARAP1/CORO1B/CYRIA/TRIOBP/ABI2/TMOD3/ADD3/SWAP70/LIMA1/STAP1/WASHC3/SH3BP1/F11R/ARFGEF1/WASF2,60
BP,GO:0051258,protein polymerization,50/1107,281/18903,1.47781205484801e-12,7.83240389069445e-10,6.13214223180089e-10,DNM1L/ARPC1B/ARPC2/ARPC5/CHMP2A/GAS7/EML2/GSN/PFN1/HCLS1/NCK1/STMN1/RASA1/CLIP1/CORO1A/RDX/ADD1/CAPG/CAPZA2/CAPZB/MECP2/CAPZA1/AIF1/CORO7/ARF6/SPTBN1/PRKCD/WASHC5/TWF1/EPS8/DYRK1A/SPTAN1/DCTN1/PTK2B/NUMA1/RICTOR/CYFIP1/CLASP1/ARHGAP18/PREX1/RANBP9/CYRIA/TRIOBP/CHMP4B/DIAPH3/TMOD3/ADD3/WASHC3/CHMP3/ARFGEF1,50
