ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa04144,Endocytosis - Homo sapiens (human),70/1197,250/8659,1.95906916157895e-09,6.48451892482634e-07,5.15544516204988e-07,9146/10095/10109/10092/27243/23396/8724/9525/10254/10617/160/3106/7037/1211/1212/3107/3312/3482/867/5371/409/3799/9101/2870/4734/830/832/1785/5878/829/1175/5869/10096/382/163/1213/1759/9897/6642/11031/9815/23527/8411/9230/26119/80223/9765/51028/10015/8729/1173/83737/116985/116986/7251/128866/79720/26286/56904/11311/51324/30846/57180/27128/29934/51100/51019/51652/10565/29924,70
hsa05132,Salmonella infection - Homo sapiens (human),69/1197,249/8659,4.12829128948699e-09,6.83232208410097e-07,5.4319622230092e-07,10640/3839/10095/10109/10092/7097/9475/11258/2597/302/5216/3326/5788/6237/7295/7184/4790/2316/6188/5595/834/207/3799/5605/5601/6416/837/1785/5878/6990/1434/840/5869/10096/10121/382/6993/391/54205/5604/3831/79026/10381/8737/10540/3606/1639/1778/841/5585/23191/10006/197259/51626/60412/23339/63916/55770/55823/83658/54106/89953/55860/57180/27128/4646/23265/11035/51143,69
hsa03020,RNA polymerase - Homo sapiens (human),18/1197,34/8659,7.36452160619041e-08,8.12552217216342e-06,6.46010667209686e-06,11128/9533/10622/10849/25885/661/51082/5434/5437/221830/10623/64425/10621/84172/55718/55703/30834/51728,18
hsa03008,Ribosome biogenesis in eukaryotes - Homo sapiens (human),47/1197,165/8659,5.29924977278883e-07,4.38512918698276e-05,3.48634853472949e-05,10199/10528/4931/10799/2091/4809/1460/1457/10607/6949/29889/9790/23160/5822/84128/54464/134430/84135/10436/84916/51068/92856/10940/83732/54913/10813/26354/55781/23560/55226/55127/65083/23195/55272/54552/55131/55813/28987/10885/10171/51602/51077/27341/51119/25996/102157402/51096,47
hsa00280,Valine, leucine and isoleucine degradation - Homo sapiens (human),20/1197,48/8659,1.96334832350701e-06,0.000129973659016164,0.000103334122289843,5095/1629/34/593/35/4594/11112/3155/10449/223/224/3032/5019/3157/4329/1962/549/65985/56922/259307,20
hsa04623,Cytosolic DNA-sensing pathway - Homo sapiens (human),28/1197,83/8659,3.08455620706946e-06,0.000170164684089999,0.000135287552941643,1777/11128/9533/10622/23586/661/51082/5434/4790/834/5437/840/8737/3606/841/3428/57506/340061/197259/10623/10621/55718/55703/29110/51428/51728/25939/11035,28
hsa01230,Biosynthesis of amino acids - Homo sapiens (human),26/1197,75/8659,3.89449507856283e-06,0.000184153981572042,0.000146409589419655,3420/3417/445/226/2597/435/2023/440/230/5091/5315/2805/5831/6472/875/3418/22934/5832/5631/5723/95/65263/84706/4548/50/29968,26
hsa04110,Cell cycle - Homo sapiens (human),42/1197,157/8659,1.2021967766119e-05,0.000465570409288886,0.000370146612568681,1111/10403/699/701/8318/9133/11200/7040/5925/891/890/10971/896/995/7529/4173/1026/1031/1022/5347/1032/7531/7534/2033/8881/472/545/8454/8243/5528/5525/9319/5529/25836/10735/27127/10274/1387/9212/990/23047/9126,42
hsa05135,Yersinia infection - Homo sapiens (human),38/1197,137/8659,1.26590141498489e-05,0.000465570409288886,0.000370146612568681,2533/10095/10109/10092/23396/9475/8935/4772/920/3688/3678/3676/4790/5595/834/207/5605/5601/6416/1398/5829/2776/6197/10096/382/391/5604/3937/6093/3606/9815/2185/5585/5586/63916/57180/29110/10163,38
hsa03010,Ribosome - Homo sapiens (human),43/1197,167/8659,2.63973089312762e-05,0.000873750925625241,0.000694666024507267,6183/6218/3921/6129/6139/6188/6137/6134/6124/6223/6125/6144/6158/6159/9045/6182/6189/6138/6168/6201/6210/6208/6222/6235/6205/6130/6209/6234/4736/6161/6169/64960/6142/6128/6141/64928/200916/65008/29074/51264/51081/65003/25873,43
