ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa03008,Ribosome biogenesis in eukaryotes - Homo sapiens (human),46/564,165/8659,5.81556708073975e-18,1.69233002049527e-15,1.57326393657907e-15,10199/10528/4931/10799/2091/4809/1460/1457/10607/6949/29889/9790/23160/5822/84128/134430/84135/10436/84916/51068/92856/10940/83732/54913/10813/26354/55781/23560/55226/55127/65083/23195/55272/54552/55131/55813/28987/10885/10171/51602/51077/27341/51119/25996/102157402/51096,46
hsa03010,Ribosome - Homo sapiens (human),43/564,167/8659,1.76848404643911e-15,2.57314428756891e-13,2.39210736807817e-13,6183/6218/3921/6129/6139/6188/6137/6134/6124/6223/6125/6144/6158/6159/9045/6182/6189/6138/6168/6201/6210/6208/6222/6235/6205/6130/6209/6234/4736/6161/6169/64960/6142/6128/6141/64928/200916/65008/29074/51264/51081/65003/25873,43
hsa03020,RNA polymerase - Homo sapiens (human),18/564,34/8659,2.82973706159477e-13,2.74484494974693e-11,2.55172780642055e-11,11128/9533/10622/10849/25885/661/51082/5434/5437/221830/10623/64425/10621/84172/55718/55703/30834/51728,18
hsa03013,Nucleocytoplasmic transport - Homo sapiens (human),26/564,108/8659,3.59561301557036e-09,2.61580846882743e-07,2.43176985526732e-07,3843/3839/11260/9631/10527/5905/3838/1434/55161/2733/23511/9688/57187/79711/5976/3842/51068/9984/84321/55706/64328/5411/57510/8086/55308/51194,26
hsa01230,Biosynthesis of amino acids - Homo sapiens (human),21/564,75/8659,6.45713604546404e-09,3.75805317846007e-07,3.4936504498616e-07,3420/445/226/2597/2023/440/230/5091/2805/5831/6472/875/22934/5832/5631/5723/95/65263/84706/4548/29968,21
hsa00900,Terpenoid backbone biosynthesis - Homo sapiens (human),10/564,23/8659,6.70116068506554e-07,3.25006293225679e-05,3.02140051940674e-05,3156/2224/4597/3157/4598/3422/10654/23590/79947/116150,10
hsa05171,Coronavirus disease - COVID-19 - Homo sapiens (human),36/564,232/8659,8.30190128054836e-07,3.45121896091367e-05,3.20840395353523e-05,7097/6218/3921/6129/6139/6188/6137/6134/6124/6223/6125/6144/6158/6159/9045/6189/6138/6168/6201/6210/6208/6222/6235/6205/6130/6209/6234/4736/6161/6169/6142/6128/6141/200916/64135/25873,36
hsa04141,Protein processing in endoplasmic reticulum - Homo sapiens (human),26/564,170/8659,3.6486328259419e-05,0.00132719019043636,0.00123381399508825,10294/22824/9532/1965/5034/3326/3309/3312/9601/7184/22926/811/821/10961/3301/10134/29927/8454/7841/81567/10808/10113/23640/51726/55968/10525,26
hsa00970,Aminoacyl-tRNA biosynthesis - Homo sapiens (human),14/564,66/8659,6.94074504622043e-05,0.00224417423161127,0.00208628242909784,4677/5188/2058/7453/2617/3376/5859/16/6301/8565/4141/3735/51520/2193,14
hsa00100,Steroid biosynthesis - Homo sapiens (human),7/564,20/8659,0.000175936917340774,0.0046543311769241,0.00432686964177788,2222/4047/6713/1718/6307/1595/1717,7
hsa00670,One carbon pool by folate - Homo sapiens (human),7/564,20/8659,0.000175936917340774,0.0046543311769241,0.00432686964177788,1719/2618/471/6472/160428/25902/4548,7
hsa00250,Alanine, aspartate and glutamate metabolism - Homo sapiens (human),9/564,37/8659,0.000473714867021222,0.0114875855252646,0.0106793614758293,445/440/2805/790/158/5471/84706/259307/56954,9
hsa01240,Biosynthesis of cofactors - Homo sapiens (human),21/564,153/8659,0.000891534020736434,0.0199566461564848,0.0185525703100618,11019/1719/2058/7372/211/4830/205/790/158/6472/1723/133686/25902/112724/55312/29926/80025/79646/102157402/29968/9054,21
hsa04932,Non-alcoholic fatty liver disease - Homo sapiens (human),21/564,155/8659,0.00105670618338747,0.0210359632921319,0.0195559506821411,9167/27089/4709/4726/4710/4714/4701/4705/1965/3643/1329/1327/1350/6256/4719/7384/4723/4700/54205/8660/4715,21
hsa01232,Nucleotide metabolism - Homo sapiens (human),14/564,85/8659,0.00108432800474907,0.0210359632921319,0.0195559506821411,955/353/3615/4830/1890/3614/205/158/6241/8833/271/7371/79077/102157402,14
hsa00230,Purine metabolism - Homo sapiens (human),18/564,128/8659,0.00153718701215478,0.027957588783565,0.0259905961923538,5198/955/353/3615/4830/3614/2618/10606/205/158/6241/471/8833/5631/271/5471/11164/102157402,18
hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),10/564,52/8659,0.00166523607682842,0.0285049234327688,0.0264994223990652,3939/2805/6723/191/1786/875/259307/4548/84245/29968,10
hsa04623,Cytosolic DNA-sensing pathway - Homo sapiens (human),13/564,83/8659,0.0025736988725288,0.0395845160772563,0.0367994958649118,11128/9533/10622/661/51082/5434/5437/10623/10621/55718/55703/51428/51728,13
hsa00190,Oxidative phosphorylation - Homo sapiens (human),18/564,134/8659,0.00258455603253564,0.0395845160772563,0.0367994958649118,9167/27089/4709/4726/4710/4714/4701/4705/1329/1327/1350/4719/7384/4723/4700/54205/5464/4715,18
hsa04612,Antigen processing and presentation - Homo sapiens (human),12/564,78/8659,0.00431310259210787,0.0620566283232556,0.0576905533697836,5994/8625/6892/3106/972/3326/3107/3309/3312/811/821/10197,12
hsa00330,Arginine and proline metabolism - Homo sapiens (human),9/564,50/8659,0.00447831338415247,0.0620566283232556,0.0576905533697836,4942/5033/2805/6723/5831/2628/5832/65263/112849,9
hsa01200,Carbon metabolism - Homo sapiens (human),15/564,115/8659,0.00747040692375956,0.0988131097642742,0.0918609846605841,3420/847/226/2597/2023/230/5091/2805/6472/22934/3099/5631/5723/84706/29968,15
hsa01523,Antifolate resistance - Homo sapiens (human),6/564,30/8659,0.0115233889832798,0.145500188293835,0.135263332940914,10257/1719/2618/471/6472/6573,6
hsa00240,Pyrimidine metabolism - Homo sapiens (human),9/564,58/8659,0.0120000155293885,0.145500188293835,0.135263332940914,955/7372/4830/1890/790/6241/1723/7371/79077,9
hsa05415,Diabetic cardiomyopathy - Homo sapiens (human),22/564,203/8659,0.0126098511992821,0.146778667959644,0.136451863503811,9167/27089/4709/4726/4710/4714/4701/4705/2597/3643/1329/6513/1327/1535/1350/7416/4719/7384/5501/4723/4700/4715,22
hsa03060,Protein export - Homo sapiens (human),6/564,31/8659,0.0135236170306406,0.146800640718121,0.136472290340232,3309/8266/7917/29927/90701/58477,6
hsa00260,Glycine, serine and threonine metabolism - Homo sapiens (human),7/564,40/8659,0.0136206780047741,0.146800640718121,0.136472290340232,23464/211/6472/875/2628/5723/29968,7
hsa05014,Amyotrophic lateral sclerosis - Homo sapiens (human),34/564,364/8659,0.0206549910028105,0.214664370779209,0.19956137923768,9167/27089/4709/4726/9631/4710/4714/4701/4705/10452/847/1965/1329/3309/4744/1327/1350/22926/7416/4719/7384/4723/4700/54205/8878/2733/23511/9688/400916/5695/10280/55706/55255/4715,34
hsa03320,PPAR signaling pathway - Homo sapiens (human),10/564,75/8659,0.0228981064502184,0.224688884064328,0.208880604827391,6319/11001/9415/6256/2710/1374/2171/3157/10999/123,10
hsa03015,mRNA surveillance pathway - Homo sapiens (human),12/564,97/8659,0.0231638024808586,0.224688884064328,0.208880604827391,51585/26986/2935/5501/2107/8761/2733/5976/10978/5411/29101/55308,12
hsa05012,Parkinson disease - Homo sapiens (human),25/564,266/8659,0.0403714196826377,0.378970423472502,0.352307465481762,9167/27089/4709/4726/4710/4714/4701/4705/1965/1329/3309/1327/1350/22926/7416/4719/7384/4723/4700/54205/10131/25800/23516/5695/4715,25
hsa03083,Polycomb repressive complex - Homo sapiens (human),10/564,84/8659,0.0455048871552262,0.391012011625378,0.3635018520084,8473/4149/10238/1460/57713/54880/9212/64319/54881/22992,10
hsa04714,Thermogenesis - Homo sapiens (human),22/564,232/8659,0.0480706819148232,0.391012011625378,0.3635018520084,9167/27089/4709/4726/4710/4714/4701/4705/1329/1327/1350/4719/7384/4723/1374/4700/2885/388753/9658/29078/55818/4715,22
hsa04110,Cell cycle - Homo sapiens (human),16/564,157/8659,0.0493080838956569,0.391012011625378,0.3635018520084,1111/699/701/8318/9133/891/890/4173/1022/5347/8881/545/8454/9319/9212/990,16
hsa04115,p53 signaling pathway - Homo sapiens (human),9/564,74/8659,0.050033190220955,0.391012011625378,0.3635018520084,1111/10572/9133/891/6241/54205/545/27113/51512,9
hsa05020,Prion disease - Homo sapiens (human),25/564,272/8659,0.0503643876224682,0.391012011625378,0.3635018520084,9167/27089/4709/4726/4710/4714/4701/4705/1965/1329/3309/3312/1327/1535/1350/7416/4719/7384/4723/4700/1460/1457/54205/5695/4715,25
