"","Protein.Names","Protein.Group","Protein.Ids","Genes","First.Protein.Description","D1","D2","D3","D4","WT1","WT2","WT3","WT4","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1433B_HUMAN","P31946","P31946","YWHAB","14-3-3 protein beta/alpha",13900500,12981498.5245222,13928430.5791883,13069573.4472815,12141385.1844157,12286639.6344099,11700176.7016774,11671740.9570731,0.205565036650977,23.5669117863147,6.22530764505968,0.000398892834628456,0.00376406983718898,0.0328567231691839
"2","1433E_HUMAN","P62258","P62258","YWHAE","14-3-3 protein epsilon",49800500,50844097.1666576,51919413.7145637,51797190.9452448,50128379.5354703,50004830.4486206,50508802.1052186,50414915.8614293,0.0596002176881747,25.5627455500471,3.52917779036764,0.00928077904751391,0.0333398686802411,-3.38757249091128
"3","1433F_HUMAN","Q04917","Q04917","YWHAH","14-3-3 protein eta",7900500,8250559.4352925,8258838.73445216,8081963.92518484,8040626.43078911,8108958.23370294,8226708.27490114,8204730.77220584,0.0284344584003406,22.9267511181167,1.57229338253874,0.158980412470889,0.275176390070139,-6.27009108682246
"4","1433G_HUMAN","P61981","P61981","YWHAG","14-3-3 protein gamma",19600500,19021947.865778,20596823.7221434,18500343.3480863,20390932.573862,19117317.1226857,19001493.2168962,19512668.9654331,0.0281372465731309,24.1835008449516,0.780461379508216,0.460170581293893,0.588107146949071,-7.14367190401081
"5","1433T_HUMAN","P27348","P27348","YWHAQ","14-3-3 protein theta",10300500,10052245.0757791,10062790.3483345,9841615.40043594,9606393.88248461,9701036.45571311,9706289.82716979,9708113.17461571,0.0888214065396653,23.205619537174,4.31230235965426,0.00334310992364513,0.0161048359490394,-2.28807399360464
"6","1433Z_HUMAN","P63104","P63104","YWHAZ","14-3-3 protein zeta/delta",57500500,55275799.3018208,55927091.0401618,55419141.6399978,48888516.8767527,51042166.4628768,48860326.0513153,49785767.3817408,0.210826170610684,25.6202657452945,8.75472767756934,4.49882909635016e-05,0.000907851740482434,2.4191190559801
"7","2A5A_HUMAN","Q15172","Q15172","PPP2R5A","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform",730076.000000002,698848.624399825,655596.355825095,699150.171892905,609834.621848123,652743.832441391,648866.523608815,645848.020788576,0.149174872617127,19.3224910672137,3.53039836821543,0.00926536776207727,0.0333008217801718,-3.38579715157349
"8","2A5D_HUMAN","Q14738","Q14738","PPP2R5D","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform",1600500,1609264.67607539,1674908.68393216,1597864.18561406,1517747.92673533,1522306.98963679,1524718.1825429,1586853.43157796,0.104673229568956,20.5643972844149,5.49036705047199,0.000852214919357972,0.00619494190476598,-0.798462605568614
"9","2A5E_HUMAN","Q16537","Q16537","PPP2R5E","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform",586416,565623.78679765,596766.400092857,585979.391464426,571009.042233161,537415.387307278,499685.558142374,548707.846315304,0.142743073853666,19.0728924920629,3.55083839507367,0.00901134409161888,0.0327247027636204,-3.35609277988987
"10","2A5G_HUMAN","Q13362","Q13362","PPP2R5C","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform",857514.999999999,986075.97244312,693673.52752843,867675.350702898,834535.344574716,817570.397362311,827051.100500049,779363.46849619,0.0805649181296637,19.6371529177788,0.772478548261331,0.464593322552221,0.591696758894021,-7.15016554267168
"11","2AAA_HUMAN","P30153","P30153","PPP2R1A","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform",6780499.99999999,7143451.22094529,6916490.51169149,7146883.82834581,6897536.08686933,7054795.51665761,6901609.44615239,6962875.39988683,0.0407608702621083,22.7052864453332,1.72968346830399,0.126406641694092,0.233101986142123,-6.05666317519518
"12","2AAB_HUMAN","P30154","P30154","PPP2R1B","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform",883459.000000003,857353.273292768,902623.167410223,876898.028052736,899918.017482133,877612.740882246,884318.037358763,951664.853053024,-0.00910991756839508,19.7409490770112,-0.334718618331509,0.747441882275736,0.830244811277243,-7.41257888299811
"13","2ABA_HUMAN","P63151","P63151","PPP2R2A","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform",2540500,2625286.59543897,2605662.82410556,2653160.84913224,2843317.41685885,2645946.54040388,2693331.72487745,2731108.6653108,-0.0354599035773617,21.3195559873543,-1.28555403946888,0.238664656487081,0.369019245331776,-6.63134327109942
"14","2ABD_HUMAN","Q66LE6","Q66LE6","PPP2R2D","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform",250926,213974.23991208,254380.831786837,194861.039303583,236072.264370444,226278.146371193,251707.260069757,222119.565045322,-0.0162978771018878,17.7917086223257,-0.175028968429415,0.865910105497943,0.913523802894113,-7.45836776324471
"15","3BP1_HUMAN","Q9Y3L3","Q6ZT62;Q9Y3L3","SH3BP1","SH3 domain-binding protein 1",1230500,1287402.50081397,1296667.30319161,1326534.21933695,1096810.5758017,1130918.72834067,1104737.98071538,1119294.39623059,0.235647625569996,20.1643529034461,9.63626154859025,2.37660990681178e-05,0.000611414169710315,3.11187358541259
"16","3HAO_HUMAN","P46952","P46952","HAAO","3-hydroxyanthranilate 3,4-dioxygenase",219720,181372.283167006,175294.9857812,238640.7256212,117622.202275523,180191.535184009,122827.404357447,166578.882150205,0.509868532384388,17.3600967053701,2.94867897073259,0.0209334123920368,0.0614118407113561,-4.24867951982026
"17","3HIDH_HUMAN","P31937","P31937","HIBADH","3-hydroxyisobutyrate dehydrogenase, mitochondrial",1520500,1498621.49911539,1409102.57776469,1708410.45613267,1168660.47567188,1357484.51243884,1391530.91182073,1150451.51363686,0.3063487470105,20.3812672172363,3.43106130875422,0.010614663239771,0.0367107126764157,-3.53083773254066
"18","3MG_HUMAN","P29372","P29372","MPG","DNA-3-methyladenine glycosylase",1320500,1277344.76766867,1317109.06444073,1205948.69315483,1261050.19479854,1264788.79503616,1299336.14062322,1306268.08228803,0.0250411031791522,20.2635595732087,0.787609857639054,0.456234579403915,0.585116658420413,-7.13780926703684
"19","4EBP1_HUMAN","Q13541","Q13541","EIF4EBP1","Eukaryotic translation initiation factor 4E-binding protein 1",5230500,5009947.99793163,5297987.83588117,4593230.12023004,6578351.55604947,5308898.60196898,5474248.98762103,6555998.37856662,-0.211663862583485,22.3545711998591,-2.48410378504323,0.0412620381704952,0.10114786488334,-4.95124638991698
"20","4EBP2_HUMAN","Q13542","Q13542","EIF4EBP2","Eukaryotic translation initiation factor 4E-binding protein 2",276439,229787.465486846,248479.092416474,289590.394964186,216241.103315852,220184.457176172,236669.261013042,283929.042732989,0.154002100513253,17.9015810510925,1.43446493302385,0.193691022762882,0.317279396536518,-6.44874900428059
"21","4ET_HUMAN","Q9NRA8","Q9NRA8","EIF4ENIF1","Eukaryotic translation initiation factor 4E transporter",288121,288771.157938644,290386.803017363,281538.155286882,292042.341677477,300552.960060734,296015.07353259,310295.925792415,-0.0354509167865977,18.1395750213965,-1.69924878654682,0.132170923062399,0.241484477421757,-6.0986255012014
"22","4F2_HUMAN","P08195","P08195","SLC3A2","Amino acid transporter heavy chain SLC3A2",8010499.99999999,8180105.31661361,8002639.28828446,8132238.07820048,10028818.6886259,10321470.1997501,10158458.69116,10940496.8802101,-0.324659462791868,23.0960798221302,-11.8505701927941,5.85561590525999e-06,0.00028061029945991,4.61665295758401
"23","5MP1_HUMAN","Q9Y6E2","Q9Y6E2","BZW2","eIF5-mimic protein 1",2810500,2927107.60350317,2963785.48160854,2944650.62373652,3326582.00538013,3295853.34279107,3185649.42385512,3314150.64698487,-0.141475123443442,21.5321917033357,-6.65911236651401,0.00026252740266227,0.00287290515368718,0.491251705658554
"24","5MP2_HUMAN","Q7L1Q6","Q7L1Q6","BZW1","eIF5-mimic protein 2",5210500,5261524.67360771,5420889.35704753,5377383.32866349,5590086.97693099,5381193.75967808,5463982.19221574,5606874.85617505,-0.0196110846366402,22.3399173261932,-1.01207229457485,0.344517986944616,0.479227068920115,-6.93200737627855
"25","5NT3A_HUMAN","Q9H0P0","Q9H0P0","NT5C3A","Cytosolic 5'-nucleotidase 3A",531988,465109.698643431,491889.415965335,504884.61815494,533933.781668961,541777.894158036,532200.055288392,564311.187134075,-0.0977720888265843,18.9641626224459,-2.23408790815071,0.0598150575719404,0.133586354589542,-5.32699643369657
"26","5NTC_HUMAN","P49902","P49902","NT5C2","Cytosolic purine 5'-nucleotidase",2610500,2655468.12333847,2595431.75200109,2572751.65377844,2401307.25230249,2357195.39218959,2354945.27081957,2439702.24994012,0.157320214609758,21.2245772928487,8.08373512812904,7.59333805675522e-05,0.00127401269181074,1.84853325731413
"27","6PGD_HUMAN","P52209","P52209","PGD","6-phosphogluconate dehydrogenase, decarboxylating",9640500.00000001,10062310.7279802,9950028.68913384,9791338.13673253,10389449.8661307,10631714.7185043,10137904.853811,10836043.3579178,-0.0570069368650508,23.249105676829,-2.53102687345199,0.0384975279988666,0.095877675029786,-4.88030465606183
"28","6PGL_HUMAN","O95336","O95336","PGLS","6-phosphogluconolactonase",8950500,9156417.9296583,8986506.80248658,8986913.5760457,8988270.11640228,8863575.05163848,8843153.01329048,8810182.41677159,0.055900077494659,23.0642617060653,3.01469677002724,0.0190425192215963,0.0570575197927028,-4.14936645716282
"29","8ODP_HUMAN","P36639","P36639","NUDT1","Oxidized purine nucleoside triphosphate hydrolase",1870500,1820500.48020287,1889643.46294234,1989811.08679777,1815611.95185048,1810828.42527839,1811644.22296948,1773981.83744207,0.0987187402047418,20.7906071941177,3.2350553997833,0.0139366605935111,0.0451141701861472,-3.82008710803369
"30","A16A1_HUMAN","Q8IZ83","Q8IZ83","ALDH16A1","Aldehyde dehydrogenase family 16 member A1",3220500,3138389.46882027,3168455.68509492,3145683.55438124,2894722.12158062,2852235.56041251,2857422.86357241,2928894.17133838,0.16634600174952,21.5003845420278,9.17168077154081,3.30489171882062e-05,0.000745583571765933,2.75437211953636
"31","A16L1_HUMAN","Q676U5","Q676U5","ATG16L1","Autophagy-related protein 16-1",279034,257860.893938267,287236.46891358,277065.613635458,297279.165990676,311728.032709015,295050.386412271,297691.373601747,-0.100975589658788,18.1102587045499,-2.86589669318083,0.0235884070911566,0.0670869669481614,-4.37353672238692
"32","A2AP_HUMAN","P08697","P08697","SERPINF2","Alpha-2-antiplasmin",1470500,1116425.32611609,1807835.33724257,1205948.69315483,844973.788274627,1141215.36948432,1309579.50215203,687038.231115841,0.538857693558349,20.1109668286468,2.24864833640658,0.0585322112584482,0.131562897899124,-5.30526429654328
"33","A2GL_HUMAN","P02750","P02750","LRG1","Leucine-rich alpha-2-glycoprotein",419231,443441.867467737,441383.750087482,404892.088034983,478087.553957118,503022.634474554,458232.428684326,492522.150126061,-0.150149305463223,18.7686423695736,-3.9334396781854,0.00541641671925202,0.0225098402451555,-2.80966619107402
"34","A2MG_HUMAN","P01023","P01023","A2M","Alpha-2-macroglobulin",1470500,1066139.76283303,2564738.88710068,1406926.56163898,1000323.04006158,1295685.93720984,2119145.45366297,998479.111584122,0.289498366504841,20.4005614144497,0.862954269303546,0.416164926965949,0.548108720049279,-7.07333022244084
"35","A4_HUMAN","P05067","P05067","APP","Amyloid-beta precursor protein",243971,203165.65833183,207063.824149823,210290.859157821,248758.584744843,248280.444509205,231584.060312147,238691.442882482,-0.139900228440624,17.7780388614449,-2.18594776918896,0.064261300705897,0.141151544869873,-5.39866736449877
"36","A7L3B_HUMAN","Q96GX2","Q96GX2","ATXN7L3B","Ataxin-7-like protein 3B",398124,390923.829971657,379234.867695215,410710.217887643,436448.799890219,441024.1105914,428210.663325057,413657.28077797,-0.0964038159343623,18.6281787319931,-2.65894668848673,0.0318911162579113,0.0834197875144507,-4.68664891064153
"37","AAAS_HUMAN","Q9NRG9","Q9NRG9","AAAS","Aladin",1820500,1840618.68250488,1787384.13434973,1829009.02279163,1969714.0402243,2016971.26718866,1944885.2965388,2044365.58654765,-0.102242515856346,20.8348584064958,-4.63679804552686,0.00224933472547266,0.0121892994879272,-1.85771032424426
"38","AAAT_HUMAN","Q15758","Q15758","SLC1A5","Neutral amino acid transporter B(0)",8480499.99999999,7666803.86725658,7725957.24321458,7971361.14544132,8936763.08420455,9028987.70081941,8853427.68644445,9206915.26295097,-0.146089437671876,22.9841180376403,-3.85329206315997,0.00601509854797356,0.0241867944132521,-2.9225591508639
"39","AACS_HUMAN","Q86V21","Q86V21","AACS","Acetoacetyl-CoA synthetase",269166,281362.867010322,282583.97912975,253480.960149477,177326.298601437,179834.501067372,192926.115262828,176271.048872788,0.605082230205049,17.7377328465356,13.4740514052664,2.42178510791185e-06,0.000188666939578504,5.5492749764511
"40","AAGAB_HUMAN","Q6PD74","Q6PD74","AAGAB","Alpha- and gamma-adaptin-binding protein p34",873433,841857.750387687,932712.334690297,898669.25689705,828240.585720722,883641.508908285,986705.485333971,856019.986774364,0.0269244041306038,19.7328919634474,0.455472655720864,0.662278237899116,0.762894586060694,-7.3595561237822
"41","AAK1_HUMAN","Q2M2I8","Q2M2I8","AAK1","AP2-associated protein kinase 1",823560,835543.524387517,839509.549967287,846910.125427334,745968.341348863,697980.339982078,754556.303187052,694879.964598657,0.237892920202732,19.5441827582725,6.77922313320242,0.000234661560318527,0.00265037527851353,0.614191670189149
"42","AAKB1_HUMAN","Q9Y478","Q9Y478","PRKAB1","5'-AMP-activated protein kinase subunit beta-1",648958,690547.910353399,700410.106685311,706926.459424917,646712.108665877,625633.437026404,672613.550188576,764032.531291088,0.0509189209713199,19.352632312291,0.835726676187975,0.430345829305391,0.561740363266357,-7.09719079645929
